id,page_type,component,description,root_cause,severity,reference_site_check,measurement_method
D01,Homepage / Package Listing,PackageCard — title truncation,"Title clips to one line but the CSS height:20px doesn't account for descenders on long titles, causing partial letter cutoff","nit-pcard-title has height:20px + overflow:hidden but line-height:16px means descenders clip at exactly 20px; reference site uses height:auto with max-height clamp instead","minor,Yes — reference uses single-line truncation with ellipsis, not hard clip","CSS selector read from globals.css line 210-212"
D02,Package Detail,Gallery — all packages show identical image grid layout,"Every package shows same 2-large + 3-small grid even when only 1 image available","page.tsx line 316: gallery grid is hardcoded 4-column with no conditional for single-image packages","medium,Yes — reference shows single hero when only 1 image exists","DOM inspection via preview_screenshot"
D03,Package Detail,Tabs — FAQ tab missing from tab bar,"FAQ block exists in V3 data (1014 packages) but FAQ section only renders from legacy details.faqs (not V3 faq blocks)","page.tsx sections array only includes FAQs from details.faqs (legacy format); V3 faqPairs extracted for JSON-LD but never rendered as a tab","high,No — reference shows FAQ as a visible tab","DOM inspection; grep for 'faqs' in sections array"
D04,Package Listing,PackageCard — missing amenity icons on some cards,"Amenity icons reference /images/nit/*.png files that may not exist on all machines","PackageCard.tsx AMENITIES array hardcodes /images/nit/bed.png etc — if these files are missing, blank icons show","low,Yes — reference always shows amenity icons","File existence check: public/images/nit/*.png"
D05,Package Detail,Sidebar — Contact Us price display inconsistency,"When no price, sidebar shows large 'Contact Us' but card shows 'Pricing on request' — inconsistent wording","page.tsx line 291: showPrice ? 'INR {displayPrice}' : 'Contact Us'; PackageCard.tsx line 112: 'Pricing on request'","minor,No — reference uses 'Contact for Price' consistently","Side-by-side comparison of card vs detail page"
D06,Package Detail,Overview — 'See More' text still visible in block content,"Some V3 paragraph blocks end with 'See More' text that wasn't cleaned","BlockRenderer.tsx strips 'See More' from list items but not from paragraph text","minor,No — reference has clean paragraphs","grep for 'See More' in V3 blocks"
D07,Package Detail,Breadcrumb — category breadcrumb links to /destinations/india-tours for all categories,"All packages show 'India Tours' breadcrumb regardless of actual category","page.tsx line 269: always links to /destinations/india-tours instead of using pkg.category","medium,No — reference shows correct category in breadcrumb","DOM inspection of breadcrumb on non-India-Tours packages"
D08,Package Detail,RelatedPackages — shows same-category packages but ignores international,"RelatedPackages component filters by category; international packages with different slugs may show empty","RelatedPackages component filters by category string; International category has few packages per sub-type","low,Partially — reference shows 3-4 related packages regardless","DOM inspection of related section on International packages"
D09,Homepage,PosterMarquee — images may not animate smoothly on first load,"Marquee starts immediately without waiting for images to load","PosterMarquee component has no preload/loading state; reference site has a brief delay before marquee starts","low,Minimal — reference also starts immediately","Visual observation via preview_screenshot"
D10,Package Detail,Gallery — 5th gallery tile shows duplicate of first image when only 1 content image,"galleryImages[4] falls back to galleryImages[0] with opacity-70","page.tsx line 340-342: fallback renders galleryImages[0] when galleryImages[4] doesn't exist","minor,No — reference shows 'View All Photos' overlay on last tile","DOM inspection of gallery grid"
D11,Package Detail,Itinerary — Day accordion opens all by default,"DayAccordionItem useState defaults to true (isOpen = true)","BlockRenderer.tsx line 143: const [isOpen, setIsOpen] = useState(true);","minor,No — reference shows first day open, rest collapsed","Visual observation via preview_screenshot"
D12,Package Listing,PackageCard — 'Starting from' label missing on cards with prices,"Cards show price directly without 'Starting from' prefix","PackageCard.tsx nit-prCn section shows 'INR {displayPrice}' without 'Starting from'","minor,No — reference shows 'Starting from ₹X,XXX' on cards","Visual comparison of card price area"
